sku_x,asin,sku_y
LG PC PN 0.5 14P GH VS1VS2 16 G,B0CJJYMNYN,LG PC PN 0.5 14P GH VS1VS2 16 G
LG PC PN 0.5 14K GH VS1VS2 16 G,B0CJJWX1FK,LG PC PN 0.5 14K GH VS1VS2 16 G
LG PC PN 0.5 14D GH VS1VS2 16 G,B0CJJY5TYG,LG PC PN 0.5 14D GH VS1VS2 16 G
LG PC PN DE 0.5 PLT GH VS1VS2 16 G,B0H2HZ46L8,LG PC PN DE 0.5 PLT GH VS1VS2 16 G
LG PC PN DE 0.75 14P GH VS1VS2 16 G,B0H2J3B63L,LG PC PN DE 0.75 14P GH VS1VS2 16 G
LG PC PN DE 0.75 14K GH VS1VS2 16 G,B0H2JB9F6B,LG PC PN DE 0.75 14K GH VS1VS2 16 G
LG PC PN 0.75 14D GH VS1VS2 16 G,B0CJJZCYNQ,LG PC PN 0.75 14D GH VS1VS2 16 G
LG PC PN DE 0.75 PLT GH VS1VS2 16 G,B0H2J8JCQ6,LG PC PN DE 0.75 PLT GH VS1VS2 16 G
LG PC PN DE 1 14P GH VS1VS2 16 G,B0H2J85LNS,LG PC PN DE 1 14P GH VS1VS2 16 G
LG PC PN 1 14K GH VS1VS2 16 G,B0CJJY9MKT,LG PC PN 1 14K GH VS1VS2 16 G
LG PC PN 1 14D GH VS1VS2 16 G,B0CJJY3B59,LG PC PN 1 14D GH VS1VS2 16 G
LG PC PN DE 1 PLT GH VS1VS2 16 G,B0H2J5XDH4,LG PC PN DE 1 PLT GH VS1VS2 16 G
LG PC PN DE 1 SS GH VS1VS2 16 G,B0H2J8R7HD,LG PC PN DE 1 SS GH VS1VS2 16 G
LG PC PN 1.5 14P GH VS1VS2 16 G,B0CJJZCLG7,LG PC PN 1.5 14P GH VS1VS2 16 G
LG PC PN DE 1.5 14K GH VS1VS2 16 G,B0H2J8V263,LG PC PN DE 1.5 14K GH VS1VS2 16 G
LG PC PN 1.5 14D GH VS1VS2 16 G,B0CJJYG9L8,LG PC PN 1.5 14D GH VS1VS2 16 G
LG PC PN DE 1.5 PLT GH VS1VS2 16 G,B0H2J9TD24,LG PC PN DE 1.5 PLT GH VS1VS2 16 G
LG PC PN 2 14P GH VS1VS2 16 G,B0CJJX1KQR,LG PC PN 2 14P GH VS1VS2 16 G
LG PC PN DE 2 14K GH VS1VS2 16 G,B0H2J4WHL2,LG PC PN DE 2 14K GH VS1VS2 16 G
LG PC PN 2 14D GH VS1VS2 16 G,B0CJJYY7PC,LG PC PN 2 14D GH VS1VS2 16 G
LG PC PN DE 2 PLT GH VS1VS2 16 G,B0H2JDBTYM,LG PC PN DE 2 PLT GH VS1VS2 16 G
LG PC PN DE 3 14P GH VS1VS2 16 G,B0H2JK8KWX,LG PC PN DE 3 14P GH VS1VS2 16 G
LG PC PN DE 3 14K GH VS1VS2 16 G,B0H2J3Z49C,LG PC PN DE 3 14K GH VS1VS2 16 G
LG PC PN DE 3 14D GH VS1VS2 16 G,B0H2J3QX7C,LG PC PN DE 3 14D GH VS1VS2 16 G
LG PC PN DE 3 PLT GH VS1VS2 16 G,B0H2J5Z1B3,LG PC PN DE 3 PLT GH VS1VS2 16 G
LG PC PN DE 4 14P GH VS1VS2 16 G,B0H2J3PF6D,LG PC PN DE 4 14P GH VS1VS2 16 G
LG PC PN 4 14K GH VS1VS2 16 G,B0CJJVQSLT,LG PC PN 4 14K GH VS1VS2 16 G
LG PC PN DE 4 14D GH VS1VS2 16 G-BB1,B0H2J15N86,LG PC PN DE 4 14D GH VS1VS2 16 G-BB1
LG PC PN 4 PLT GH VS1VS2 16 G,B0CJJX1HWR,LG PC PN 4 PLT GH VS1VS2 16 G
LG PC PN DE 5 14P GH VS1VS2 16 G,B0H2J5QRYC,LG PC PN DE 5 14P GH VS1VS2 16 G
LG PC PN DE 5 14K GH VS1VS2 16 G,B0H2J8J939,LG PC PN DE 5 14K GH VS1VS2 16 G
LG PC PN DE 5 14D GH VS1VS2 16 G,B0H2JF3PHW,LG PC PN DE 5 14D GH VS1VS2 16 G
LG PC PN DE 5 PLT GH VS1VS2 16 G,B0H2JMYBZT,LG PC PN DE 5 PLT GH VS1VS2 16 G
LG PC PN DE 5 14P GH VS1VS2 16 G 6Ct,B0H2J6CZW8,LG PC PN DE 5 14P GH VS1VS2 16 G 6Ct
LG PC PN DE 5 14K GH VS1VS2 16 G 6Ct,B0H2JDBY44,LG PC PN DE 5 14K GH VS1VS2 16 G 6Ct
LG PC PN DE 5 14D GH VS1VS2 16 G 6Ct,B0H2J11BG1,LG PC PN DE 5 14D GH VS1VS2 16 G 6Ct
LG PC PN DE 5 PLT GH VS1VS2 16 G 6Ct,B0H2J8HKLK,LG PC PN DE 5 PLT GH VS1VS2 16 G 6Ct
LG PC PN DE 5 14P GH VS1VS2 16 G 7Ct,B0H2JB6SWW,LG PC PN DE 5 14P GH VS1VS2 16 G 7Ct
LG PC PN DE 5 14K GH VS1VS2 16 G 7Ct,B0H2J7SLVC,LG PC PN DE 5 14K GH VS1VS2 16 G 7Ct
LG PC PN DE 5 14D GH VS1VS2 16 G 7Ct,B0H2J9DHWS,LG PC PN DE 5 14D GH VS1VS2 16 G 7Ct
LG PC PN DE 5 PLT GH VS1VS2 16 G 7Ct,B0H2J6YGDJ,LG PC PN DE 5 PLT GH VS1VS2 16 G 7Ct
LG PC PN DE 5 14P GH VS1VS2 16 G 8Ct,B0H2J8318Q,LG PC PN DE 5 14P GH VS1VS2 16 G 8Ct
LG PC PN DE 5 14K GH VS1VS2 16 G 8Ct,B0H2J578JY,LG PC PN DE 5 14K GH VS1VS2 16 G 8Ct
LG PC PN DE 5 14D GH VS1VS2 16 G 8Ct,B0H2HY1SXX,LG PC PN DE 5 14D GH VS1VS2 16 G 8Ct
LG PC PN DE 5 PLT GH VS1VS2 16 G 8Ct,B0H2J3X75Y,LG PC PN DE 5 PLT GH VS1VS2 16 G 8Ct
LG PC PN DE 5 14P GH VS1VS2 16 G 9Ct,B0H2HVLJZD,LG PC PN DE 5 14P GH VS1VS2 16 G 9Ct
LG PC PN DE 5 14K GH VS1VS2 16 G 9Ct,B0H2J6BFZ3,LG PC PN DE 5 14K GH VS1VS2 16 G 9Ct
