sku,asin,product_description,price
LG PC PN 0.5 14P GH VS1VS2 16 G,B0CJJYMNYN,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 0.5 Carat",486.91
LG PC PN 0.5 14K GH VS1VS2 16 G,B0CJJWX1FK,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 0.5 Carat",464.0
LG PC PN 0.5 14D GH VS1VS2 16 G,B0CJJY5TYG,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 0.5 Carat",464.0
LG PC PN DE 0.5 PLT GH VS1VS2 16 G,B0H2HZ46L8,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 0.5 Carat",807.7
LG PC PN DE 0.75 14P GH VS1VS2 16 G,B0H2J3B63L,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 0.75 Carat",674.69
LG PC PN DE 0.75 14K GH VS1VS2 16 G,B0H2JB9F6B,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 0.75 Carat",651.77
LG PC PN 0.75 14D GH VS1VS2 16 G,B0CJJZCYNQ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 0.75 Carat",651.77
LG PC PN DE 0.75 PLT GH VS1VS2 16 G,B0H2J8JCQ6,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 0.75 Carat",995.47
LG PC PN DE 1 14P GH VS1VS2 16 G,B0H2J85LNS,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 1 Carat",720.62
LG PC PN 1 14K GH VS1VS2 16 G,B0CJJY9MKT,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 1 Carat",720.62
